"","estimator","n","MSE"
"1","MAGIC",100,0.0169965556344215
"2","RLTMLE 2",100,0.0109698478469209
"3","RLTMLE 1",100,0.208233231731223
"4","WDR",100,0.00407563764296797
"5","MAGIC",500,0.00147621718267845
"6","RLTMLE 2",500,0.000830288496936835
"7","RLTMLE 1",500,0.160920826115223
"8","WDR",500,0.00080335050007959
"9","MAGIC",1000,0.000561208949462419
"10","RLTMLE 2",1000,0.00045797812689413
"11","RLTMLE 1",1000,0.147260678175255
"12","WDR",1000,0.000455526743506594
"13","MAGIC",5000,7.366782745328e-05
"14","RLTMLE 2",5000,6.94639889464749e-05
"15","RLTMLE 1",5000,0.145458365544304
"16","WDR",5000,6.92449697844386e-05
"17","MAGIC",10000,3.4931990982699e-05
"18","RLTMLE 2",10000,3.47581943586406e-05
"19","RLTMLE 1",10000,0.143562625882786
"20","WDR",10000,3.47631011620146e-05
