"","estimator","n","MSE"
"1","MAGIC",100,0.8239559430567
"2","RLTMLE 2",100,0.059054104945366
"3","RLTMLE 1",100,0.439013866962661
"4","WDR",100,2.13569382864477
"5","MAGIC",500,0.513848769580811
"6","RLTMLE 2",500,0.0240307706518863
"7","RLTMLE 1",500,0.248170946641548
"8","WDR",500,1.07822108919941
"9","MAGIC",1000,0.430648969219747
"10","RLTMLE 2",1000,0.0490214808515358
"11","RLTMLE 1",1000,0.302998974885603
"12","WDR",1000,1.32409565894813
"13","MAGIC",5000,0.455046002799202
"14","RLTMLE 2",5000,0.0494622057396495
"15","RLTMLE 1",5000,0.311740156854293
"16","WDR",5000,1.41419325876266
"17","MAGIC",10000,0.282842452618067
"18","RLTMLE 2",10000,0.0236102524933172
"19","RLTMLE 1",10000,0.130745991031651
"20","WDR",10000,0.830757913676269
